year,level of co2
1959,315.58
1959,316.48
1959,316.65
1959,317.72
1959,318.29
1959,318.15
1959,316.54
1959,314.8
1959,313.84
1959,313.33
1959,314.81
1959,315.58
1960,316.43
1960,316.98
1960,317.58
1960,319.03
1960,320.04
1960,319.59
1960,318.18
1960,315.9
1960,314.17
1960,313.83
1960,315.0
1960,316.19
1961,316.89
1961,317.7
1961,318.54
1961,319.48
1961,320.58
1961,319.77
1961,318.57
1961,316.79
1961,314.99
1961,315.31
1961,316.1
1961,317.01
1962,317.94
1962,318.55
1962,319.68
1962,320.57
1962,321.02
1962,320.62
1962,319.61
1962,317.4
1962,316.25
1962,315.42
1962,316.69
1962,317.7
1963,318.74
1963,319.07
1963,319.86
1963,321.38
1963,322.25
1963,321.48
1963,319.74
1963,317.77
1963,316.21
1963,315.99
1963,317.07
1963,318.35
1964,319.57
1964,320.01
1964,320.74
1964,321.84
1964,322.26
1964,321.89
1964,320.44
1964,318.69
1964,316.7
1964,316.87
1964,317.68
1964,318.71
1965,319.44
1965,320.44
1965,320.89
1965,322.14
1965,322.17
1965,321.87
1965,321.21
1965,318.87
1965,317.81
1965,317.3
1965,318.87
1965,319.42
1966,320.62
1966,321.6
1966,322.39
1966,323.7
1966,324.08
1966,323.75
1966,322.38
1966,320.36
1966,318.64
1966,318.1
1966,319.78
1966,321.03
1967,322.33
1967,322.5
1967,323.04
1967,324.42
1967,325.0
1967,324.09
1967,322.54
1967,320.92
1967,319.25
1967,319.39
1967,320.73
1967,321.96
1968,322.57
1968,323.15
1968,323.89
1968,325.02
1968,325.57
1968,325.36
1968,324.14
1968,322.11
1968,320.33
1968,320.25
1968,321.32
1968,322.89
1969,324.0
1969,324.42
1969,325.63
1969,326.66
1969,327.38
1969,326.71
1969,325.88
1969,323.66
1969,322.38
1969,321.78
1969,322.86
1969,324.12
1970,325.06
1970,325.98
1970,326.93
1970,328.13
1970,328.08
1970,327.67
1970,326.34
1970,324.69
1970,323.1
1970,323.06
1970,324.01
1970,325.13
1971,326.17
1971,326.68
1971,327.17
1971,327.79
1971,328.93
1971,328.57
1971,327.36
1971,325.43
1971,323.36
1971,323.56
1971,324.8
1971,326.01
1972,326.77
1972,327.63
1972,327.75
1972,329.72
1972,330.07
1972,329.09
1972,328.04
1972,326.32
1972,324.84
1972,325.2
1972,326.5
1972,327.55
1973,328.55
1973,329.56
1973,330.3
1973,331.5
1973,332.48
1973,332.07
1973,330.87
1973,329.31
1973,327.51
1973,327.18
1973,328.16
1973,328.64
1974,329.35
1974,330.71
1974,331.48
1974,332.65
1974,333.18
1974,332.2
1974,331.07
1974,329.15
1974,327.33
1974,327.28
1974,328.31
1974,329.58
1975,330.73
1975,331.46
1975,331.94
1975,333.11
1975,333.95
1975,333.42
1975,331.97
1975,329.95
1975,328.5
1975,328.36
1975,329.38
1975,330.76
1976,331.56
1976,332.74
1976,333.36
1976,334.74
1976,334.72
1976,333.98
1976,333.08
1976,330.68
1976,328.96
1976,328.72
1976,330.16
1976,331.62
1977,332.68
1977,333.17
1977,334.96
1977,336.14
1977,336.93
1977,336.17
1977,334.89
1977,332.56
1977,331.29
1977,331.28
1977,332.46
1977,333.6
1978,334.94
1978,335.26
1978,336.66
1978,337.69
1978,338.02
1978,338.01
1978,336.5
1978,334.42
1978,332.36
1978,332.45
1978,333.76
1978,334.91
1979,336.14
1979,336.69
1979,338.27
1979,338.82
1979,339.24
1979,339.26
1979,337.54
1979,335.72
1979,333.97
1979,334.24
1979,335.32
1979,336.81
1980,337.9
1980,338.34
1980,340.07
1980,340.93
1980,341.45
1980,341.36
1980,339.45
1980,337.67
1980,336.25
1980,336.14
1980,337.3
1980,338.29
1981,339.29
1981,340.55
1981,341.63
1981,342.6
1981,343.04
1981,342.54
1981,340.82
1981,338.48
1981,336.95
1981,337.05
1981,338.58
1981,339.91
1982,340.93
1982,341.76
1982,342.77
1982,343.96
1982,344.77
1982,343.88
1982,342.42
1982,340.24
1982,338.38
1982,338.41
1982,339.44
1982,340.78
1983,341.57
1983,342.79
1983,343.37
1983,345.39
1983,346.14
1983,345.76
1983,344.32
1983,342.51
1983,340.46
1983,340.53
1983,341.79
1983,343.2
1984,344.21
1984,344.92
1984,345.68
1984,347.38
1984,347.78
1984,347.16
1984,345.79
1984,343.74
1984,341.59
1984,341.86
1984,343.31
1984,345.0
1985,345.48
1985,346.41
1985,347.91
1985,348.66
1985,349.28
1985,348.65
1985,346.9
1985,345.26
1985,343.47
1985,343.35
1985,344.73
1985,346.12
1986,346.78
1986,347.48
1986,348.25
1986,349.86
1986,350.52
1986,349.98
1986,348.25
1986,346.17
1986,345.48
1986,344.82
1986,346.22
1986,347.49
1987,348.73
1987,348.92
1987,349.81
1987,351.4
1987,352.15
1987,351.58
1987,350.21
1987,348.2
1987,346.66
1987,346.72
1987,348.08
1987,349.28
1988,350.51
1988,351.7
1988,352.5
1988,353.67
1988,354.35
1988,353.88
1988,352.8
1988,350.49
1988,348.97
1988,349.37
1988,350.42
1988,351.62
1989,353.07
1989,353.43
1989,354.08
1989,355.72
1989,355.95
1989,355.44
1989,354.05
1989,351.84
1989,350.09
1989,350.33
1989,351.55
1989,352.91
1990,353.86
1990,355.1
1990,355.75
1990,356.38
1990,357.38
1990,356.39
1990,354.89
1990,353.06
1990,351.38
1990,351.69
1990,353.14
1990,354.41
1991,354.93
1991,355.82
1991,357.33
1991,358.77
1991,359.23
1991,358.23
1991,356.3
1991,353.97
1991,352.34
1991,352.43
1991,353.89
1991,355.21
1992,356.34
1992,357.21
1992,357.97
1992,359.22
1992,359.71
1992,359.44
1992,357.15
1992,354.99
1992,353.01
1992,353.41
1992,354.42
1992,355.68
1993,357.1
1993,357.42
1993,358.59
1993,359.39
1993,360.3
1993,359.64
1993,357.45
1993,355.76
1993,354.14
1993,354.23
1993,355.53
1993,357.03
1994,358.36
1994,359.04
1994,360.11
1994,361.36
1994,361.78
1994,360.94
1994,359.51
1994,357.59
1994,355.86
1994,356.21
1994,357.65
1994,359.1
1995,360.04
1995,361.0
1995,361.98
1995,363.44
1995,363.83
1995,363.33
1995,361.78
1995,359.33
1995,358.32
1995,358.14
1995,359.61
1995,360.82
1996,362.2
1996,363.36
1996,364.28
1996,364.69
1996,365.25
1996,365.06
1996,363.69
1996,361.55
1996,359.69
1996,359.72
1996,361.04
1996,362.39
1997,363.24
1997,364.21
1997,364.65
1997,366.48
1997,366.77
1997,365.73
1997,364.46
1997,362.4
1997,360.44
1997,360.98
1997,362.65
1997,364.51
1998,365.39
1998,366.1
1998,367.36
1998,368.79
1998,369.56
1998,369.13
1998,367.98
1998,366.1
1998,364.16
1998,364.54
1998,365.67
1998,367.3
1999,368.35
1999,369.28
1999,369.84
1999,371.15
1999,371.12
1999,370.46
1999,369.61
1999,367.06
1999,364.95
1999,365.52
1999,366.88
1999,368.26
2000,369.45
2000,369.71
2000,370.75
2000,371.98
2000,371.75
2000,371.87
2000,370.02
2000,368.27
2000,367.15
2000,367.18
2000,368.53
2000,369.83
2001,370.76
2001,371.69
2001,372.63
2001,373.55
2001,374.03
2001,373.4
2001,371.68
2001,369.78
2001,368.34
2001,368.61
2001,369.94
2001,371.42
2002,372.7
2002,373.37
2002,374.3
2002,375.19
2002,375.93
2002,375.69
2002,374.16
2002,372.03
2002,370.92
2002,370.73
2002,372.43
2002,373.98
2003,375.07
2003,375.82
2003,376.64
2003,377.92
2003,378.78
2003,378.46
2003,376.88
2003,374.57
2003,373.34
2003,373.31
2003,374.84
2003,376.17
2004,377.17
2004,378.05
2004,379.06
2004,380.54
2004,380.8
2004,379.87
2004,377.65
2004,376.17
2004,374.43
2004,374.63
2004,376.33
2004,377.68
2005,378.63
2005,379.91
2005,380.95
2005,382.48
2005,382.64
2005,382.4
2005,380.93
2005,378.93
2005,376.89
2005,377.18
2005,378.54
2005,380.31
2006,381.58
2006,382.4
2006,382.86
2006,384.8
2006,385.22
2006,384.24
2006,382.65
2006,380.6
2006,379.04
2006,379.33
2006,380.35
2006,382.02
2007,383.1
2007,384.12
2007,384.81
2007,386.73
2007,386.78
2007,386.33
2007,384.73
2007,382.24
2007,381.2
2007,381.37
2007,382.7
2007,384.19
2008,385.78
2008,386.06
2008,386.28
2008,387.34
2008,388.78
2008,387.99
2008,386.61
2008,384.32
2008,383.41
2008,383.21
2008,384.41
2008,385.79
2009,387.17
2009,387.7
2009,389.04
2009,389.76
2009,390.36
2009,389.7
2009,388.24
2009,386.29
2009,384.95
2009,384.64
2009,386.23
2009,387.63
2010,388.91
2010,390.41
2010,391.37
2010,392.67
2010,393.21
2010,392.38
2010,390.41
2010,388.54
2010,387.03
2010,387.43
2010,388.87
2010,389.99
2011,391.5
2011,392.05
2011,392.8
2011,393.44
2011,394.41
2011,393.95
2011,392.72
2011,390.33
2011,389.28
2011,389.19
2011,390.48
2011,392.06
2012,393.31
2012,394.04
2012,394.59
2012,396.38
2012,396.93
2012,395.91
2012,394.56
2012,392.59
2012,391.32
2012,391.27
2012,393.2
2012,394.57
2013,395.78
2013,397.03
2013,397.66
2013,398.64
2013,400.02
2013,398.81
2013,397.51
2013,395.39
2013,393.72
2013,393.9
2013,395.36
2013,397.03
2014,398.04
2014,398.27
2014,399.91
2014,401.51
2014,401.96
2014,401.43
2014,399.27
2014,397.18
2014,395.54
2014,396.16
2014,397.4
2014,399.08
2015,400.18
2015,400.55
2015,401.74
2015,403.34
2015,404.15
2015,402.97
2015,401.46
2015,399.11
2015,397.82
2015,398.49
2015,400.27
2015,402.06
2016,402.73
2016,404.25
2016,405.06
2016,407.6
2016,407.9
2016,406.99
2016,404.59
2016,402.45
2016,401.23
2016,401.79
2016,403.72
2016,404.64
2017,406.36
2017,406.66
2017,407.54
2017,409.22
2017,409.89
2017,409.08
2017,407.33
2017,405.32
2017,403.57
2017,403.82
2017,405.31
2017,407.0
2018,408.15
2018,408.52
2018,409.59
2018,410.45
2018,411.44
2018,410.99
2018,408.9
2018,407.16
2018,405.71
2018,406.19
2018,408.21
2018,409.27
2019,411.03
2019,411.96
2019,412.18
2019,413.54
2019,414.86
2019,414.15
2019,411.96
2019,410.17
2019,408.76
2019,408.74
2019,410.47
2019,411.97
2020,413.59
2020,414.32
2020,414.71
2020,416.42
2020,417.28
2020,416.58
2020,414.58
2020,412.75
2020,411.49
2020,411.48
2020,413.1
2020,414.23
2021,415.49
2021,416.72
2021,417.61
2021,419.01
2021,419.09
2021,418.92
2021,416.9
2021,414.42
2021,413.26
2021,413.9
2021,414.97
2021,416.67
2022,418.13
2022,419.24
2022,418.76
2022,420.19
2022,420.97
2022,420.94
2022,418.85
2022,417.15
2022,415.91
2022,415.74
2022,417.47
2022,418.99
